time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)	
10	146.37750338339552	4	1	2	2	16	0	146.37750338339552	9.0	1	0.012296620639612448	0.0494928827532431	1.6105920131718747	0.8881238491709553	825.1061063029151	0.0	628.5658470873102	145.2781500216878	51.262109193917	15.095828269212651	773.843997108998	-0.001140881386062419	0.0	0.0	0.14009717106819153	0.017731089109858045	0.0012408813860624191	0.0	0.0	
10	146.37750338339552	5	1	3	1	16	0	146.37750338339552	9.0	1	0.012549435435127237	0.052024073483767884	1.6735059764310847	0.8241596018138952	841.2301559515585	0.0	641.6129562407762	147.48040488717604	52.13679482360621	15.135056993773443	789.0933611279522	-0.001155210750127993	0.0	0.0	0.14009717106819153	0.018312509589080334	0.0012552107501279928	0.0	0.0	
10	146.37750338339552	6	1	3	2	16	0	146.37750338339552	9.0	1	0.012014846693951076	0.04743050133453574	1.5249888526092277	0.8643063556669258	807.4631926306339	0.0	613.9753203584304	143.18541117813174	50.30246109407171	15.052160770435856	757.1607315365621	-0.001127839724796222	0.0	0.0	0.14009717106819153	0.017148859350725944	0.0012278397247962218	0.0	0.0	
11	162.41999472493964	1	1	1	1	16	0	162.41999472493964	10.0	1	0.015196720933924109	0.05700975487373961	2.008509967266143	0.8879292758306323	1003.4439263977683	0.0	781.1919759840678	160.52342444508577	61.72852596861475	15.255757134196909	941.7154004291535	-0.0012956848799407388	0.0	0.0	0.14009717106819153	0.020728088992009785	0.0013956848799407389	0.0	0.0	
11	162.41999472493964	2	1	1	2	16	0	162.41999472493964	10.0	1	0.015464356577595937	0.06103750894353838	2.086975493916502	0.8894836451548468	1020.1860315203368	0.0	795.0834742730212	162.41875435136862	62.68380289594746	15.275113895272186	957.5022286243899	-0.0013089886737455724	0.0	0.0	0.14009717106819153	0.0211876271361304	0.0014089886737455723	0.0	0.0	
11	162.41999472493964	3	1	2	1	16	0	162.41999472493964	10.0	1	0.015747951481273434	0.06468822295121639	2.2054035786387214	0.878267473789831	1036.9018262308246	0.0	810.0830566608058	163.17797277115488	63.64079679886358	15.293036517250833	973.2610294319607	-0.0013065678963877496	0.0	0.0	0.14009717106819153	0.022075496398490442	0.0014065678963877497	0.0	0.0	
11	162.41999472493964	4	1	2	2	16	0	162.41999472493964	10.0	1	0.016234533628239976	0.06444573155004311	2.254911786965436	0.8948881824390178	1068.6675589111776	0.0	835.0584344951246	168.2543246779838	65.35479973806916	15.351783850523818	1003.3127591731084	-0.001352781500216878	0.0	0.0	0.14009717106819153	0.022365317908983752	0.0014527815002168781	0.0	0.0	
11	162.41999472493964	5	1	3	1	16	0	162.41999472493964	10.0	1	0.01662180554132206	0.06809916004707035	2.354352237955608	0.914744979631739	1093.107833667584	0.0	855.1560798544562	171.24108398171882	66.71066983140872	15.385802097776667	1026.397163836175	-0.0013748040488717607	0.0	0.0	0.14009717106819153	0.02307057305667018	0.0014748040488717605	0.0	0.0	
11	162.41999472493964	6	1	3	2	16	0	162.41999472493964	10.0	1	0.015797746225582967	0.06203211592132361	2.145177621314988	0.9235817820692113	1041.4370025284757	0.0	812.3394575159472	165.25714323442776	63.840401778100585	15.313133588168043	977.5966007503749	-0.0013318541117813176	0.0	0.0	0.14009717106819153	0.02171882545026834	0.0014318541117813175	0.0	0.0	
12	178.41689545212262	1	1	1	1	16	0	178.41689545212262	11.0	2	0.019785327273578377	0.07541784531630179	2.7623157358605486	0.93408546558405	1289.324548041271	0.0	1023.2380329637069	186.89200873183742	79.19450634572661	15.280479638482447	1210.1300416955444	-0.0015052342444508576	0.0	0.0	0.22275030612945557	0.025315060318200792	0.0016052342444508576	0.0	0.0	
